grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
25,6,44.5785,12.4509,968.439,12.2929,212.037
26,1,2.94524,195.867,180845,195.655,775.483
26,2,10.0836,68.9653,6256.37,68.2134,441.683
26,3,15.9716,26.6105,4898.02,26.4667,73.3944
26,4,25.9395,52.6949,98.769,34.3621,200.889
26,5,41.7424,17.5062,3418.66,17.417,1020.38
26,6,44.0595,20.9814,14844.8,20.9518,1546.7
27,1,2.00847,300.037,1.06747e+06,299.953,1013.86
27,2,8.20166,90.2094,14460,89.6501,275.324
27,3,12.9077,32.4929,9532.11,32.3825,125.046
27,4,26.2277,44.3908,122.941,32.6145,791.346
27,5,41.9611,21.8965,6632,21.8244,187.314
27,6,43.5324,22.5071,8499.18,22.4477,70.9448
28,1,1.24456,634.492,6.10042e+06,634.426,8018.55
28,2,6.23007,101.182,17788,100.61,508.291
28,3,9.75872,39.5764,22389.6,39.5065,217.372
28,4,26.4483,39.032,276.72,34.207,1105.18
28,5,42.1438,26.4419,1363.2,25.9387,652.354
28,6,43.0528,23.0082,7312.33,22.936,71.2218
29,1,0.667555,1523.96,3.77621e+07,1523.9,1478.7
29,2,4.19096,113.793,72356.1,113.614,635.405
29,3,6.54345,46.9704,22253.1,46.8715,190.049
29,4,26.6038,35.8677,674.102,34.0557,3287.83
29,5,42.2766,24.3798,7626.53,24.3021,86.6753
29,6,42.6743,29.1116,5827.86,28.9669,876.997
30,1,0.271136,12835,3.85672e+11,12835,19581.1
30,2,2.10676,155.78,432713,155.724,1701.42
30,3,3.28309,61.2723,252837,61.2575,355.268
30,4,26.6961,33.2624,1350.58,32.4629,15211.9
30,5,42.3228,26.6808,24998.1,26.6523,297.299
30,6,42.4662,26.8471,16147.1,26.8025,125.269
31,1,0.271136,12835,3.85672e+11,12835,22223.1
31,2,2.10676,155.78,432713,155.724,1523.25
31,3,3.28309,61.2723,252837,61.2575,302.63
31,4,26.6961,33.2624,1350.58,32.4629,3643.47
31,5,42.3228,26.6808,24998.1,26.6523,188.016
31,6,42.4662,26.8471,16147.1,26.8025,319.279
32,1,0.264878,12786.7,8.04195e+10,12786.7,13531.2
32,2,2.10455,154.972,250644,154.876,534.959
32,3,3.28799,60.1068,191627,60.0879,118.531
32,4,26.6962,31.935,1465.72,31.254,2170.47
32,5,42.257,26.5211,0,26.5211,1366.57
32,6,42.5325,27.2792,13172.1,27.2228,289.861
33,1,0.538404,1787.17,4.41872e+07,1787.1,19501
33,2,3.6525,114.076,67206.4,113.883,51.8317
33,3,5.66671,49.3316,8697.6,49.0533,190.672
33,4,26.6348,36.4248,690.661,34.6001,992.462
33,5,42.2286,25.571,9207.75,25.5002,1744
33,6,42.6706,26.6246,6797.29,26.5208,120.993
34,1,1.01315,734.833,1.04764e+07,734.781,1126.23
34,2,5.55903,99.1672,15172.1,98.5232,489.46
34,3,8.60121,41.7798,24252.1,41.708,87.8455
34,4,26.511,33.6725,706.985,32.1417,483.333
34,5,42.1505,25.3399,4729.56,25.2049,195.614
34,6,42.953,27.6608,6442.05,27.5426,505.38
35,1,1.68063,378.369,2.2162e+06,378.305,1340.62
35,2,7.50419,89.4333,13561.5,88.8474,276.52
35,3,11.6327,35.0346,16634.5,34.961,62.8416
35,4,26.3231,40.4472,122.123,30.384,611.556
35,5,42.0114,24.2051,612.289,23.2846,262.721
35,6,43.3641,25.7535,10441.9,25.6902,389.827
36,1,2.52979,232.791,415296,232.661,607.369
36,2,9.40458,84.9064,10128.9,84.2005,355.557
36,3,14.6464,29.0808,6351.47,28.9482,314.905
36,4,26.0688,47.3462,111.439,33.2287,669.548
36,5,41.8264,20.1713,279.833,18.815,5573.08
36,6,43.8527,22.0333,20992.9,22.0102,21.7039
37,1,3.54044,176.957,67533,176.494,433.096
37,2,11.2194,79.6462,5517.48,78.5129,81.8325
37,3,17.5953,24.4934,4506.53,24.361,162.834
37,4,25.7458,58.5181,90.119,35.4797,774.388
37,5,41.6102,20.047,69.5512,15.5616,789.055
37,6,44.3632,20.0765,6817.12,20.0176,52.6992
38,1,4.68647,167.296,3463.44,159.587,225.419
38,2,12.9198,76.5346,2939.21,74.5923,493.064
38,3,20.4542,20.2973,786.093,19.7864,165.338
38,4,25.3519,65.4326,50.2075,28.4089,92.2267
38,5,41.3768,22.781,29.9063,12.9309,231.425
38,6,44.8391,34.2255,3609.8,33.904,2831.26
39,1,5.93798,154.482,1608.08,140.942,100.684
39,2,14.4822,76.7051,1642.15,73.2821,130.778
39,3,23.2089,24.0801,22.4571,11.6202,92.3459
39,4,24.8857,94.3863,42.7328,29.4153,126.519
39,5,41.1401,23.7097,37.8018,14.5708,51.8228
39,6,45.2256,14.8982,476.69,14.4466,1010.14
40,1,7.26265,130.998,814.23,112.843,204.678
40,2,15.887,78.1558,1489.96,74.2605,243.906
40,3,24.3471,172.135,41.8309,33.6528,280.019
